STATENAME	ID	DISTRICT
Florida	12113114002	2
Florida	12113114003	3
Florida	12113114004	4
Florida	12113114005	5
Florida	12113114006	6
Florida	12113114007	7
Florida	12113114008	8
Florida	12113114009	9
Florida	12113114010	10
Florida	12113114011	11
Florida	12113114012	12
Florida	12113114013	13
Florida	12113114014	14
Florida	12113114015	15
Florida	12113114016	16
Florida	12113114017	17
Florida	12113114018	18
Florida	12113114019	19
Florida	12113114020	20
Florida	12113114021	21
Florida	12113114022	22
Florida	12113114023	23
Florida	12113114024	24
Florida	12113114025	25
Florida	12113114026	26
Florida	12113114027	27
North Carolina	37113114001	1
North Carolina	37113114002	2
North Carolina	37113114003	3
North Carolina	37113114004	4
North Carolina	37113114005	5
North Carolina	37113114006	6
North Carolina	37113114007	7
North Carolina	37113114008	8
North Carolina	37113114009	9
North Carolina	37113114010	10
North Carolina	37113114011	11
North Carolina	37113114012	12
North Carolina	37113114013	13
Virginia	51113114001	1
Virginia	51113114002	2
Virginia	51113114003	3
Virginia	51113114004	4
Virginia	51113114007	7
