Rowid,STATENAME,ID,DISTRICT,STARTCONG,ENDCONG,CONGRESS,STATE,YEAR,MONTH,PARTY_OF_1,VICTOR,VICTOR_VOT,MARGIN,MARGIN_PER,TOTAL_VOTE,MARGINPERC
1,New York,36038042024,24,38,42,38,NY,862,99,553,"POMEROY, THEODORE M",13834,-2638,-0.105393528,25030,0
2,New York,36038042025,25,38,42,38,NY,862,99,553,"MORRIS, DANIEL",11615,-3458,-0.174893789,19772,0
3,New York,36038042026,26,38,42,38,NY,862,99,553,"HOTCHIKISS, GILES W",13889,-4108,-0.173553021,23670,0
4,New York,36038042027,27,38,42,38,NY,862,99,553,"VANVALKENBURG, ROBERT B",14887,-4113,-0.16028214,25661,0
5,New York,36038042028,28,38,42,38,NY,862,99,553,"CLARKE, FREEMAN",11193,-1360,-0.064681823,21026,0
6,New York,36038042029,29,38,42,38,NY,862,99,553,"FRANK, AUGUSTUS",10470,-843,-0.041946559,20097,0
7,New York,36038042002,2,38,42,38,NY,862,99,100,"KALBFLEISCH, MARTIN",10586,5205,0.325984844,15967,0
8,New York,36038042030,30,38,42,38,NY,862,99,100,"GANSON, JOHN",12400,3415,0.159691372,21385,0
9,New York,36038042031,31,38,42,38,NY,862,99,553,"FENTON, REUBEN E",11950,-4968,-0.262412846,18932,0
10,New York,36038042003,3,38,42,38,NY,862,99,100,"ODELL, MOSES F",8915,1409,0.085804762,16421,0
11,Maryland,24038042001,1,38,42,38,MD,863,99,605,"CRESSWELL, JOHN A J",6743,-1261,-0.103149284,12225,0
12,Maryland,24038042002,2,38,42,38,MD,863,99,605,"WEBSTER, EDWIN H",7736,-7736,-1,7736,0
13,Maryland,24038042004,4,38,42,38,MD,863,99,605,"THOMAS, FRANCIS",13462,-13462,-1,13462,0
14,Maryland,24038042005,5,38,42,38,MD,863,99,100,"HARRIS, BENJAMIN G",4939,1587,0.150740881,10528,0
15,Massachusetts,25038039005,5,38,39,38,MA,862,11,200,"ALLEY, JOHN B",8505,-8505,-0.610377494,13934,0
16,Massachusetts,25038039006,6,38,39,38,MA,862,11,200,"GOOCH, DANIEL W",8124,-8124,-0.5691467,14274,0
17,Massachusetts,25038039007,7,38,39,38,MA,862,11,200,"BOUTWELL, GEORGE S",7994,-7994,-0.55165275,14491,0
18,Massachusetts,25038039008,8,38,39,38,MA,862,11,200,"BALDWIN, JOHN D",10128,-10128,-0.661658065,15307,0
19,New York,36038042015,15,38,42,38,NY,862,99,100,"GRISWOLD, JOHN A",12226,1287,0.055557954,23165,0
20,California,6037038000,0,37,38,38,CA,863,9,605,"SHANNON, THOMAS B",64914,-21201,-0.065097042,325683,0
21,New York,36038042004,4,38,42,38,NY,862,99,100,"WOOD, BENJAMIN",7828,3293,0.266359298,12363,0
22,New York,36038042005,5,38,42,38,NY,862,99,100,"WOOD, FERNANDO",8176,4688,0.401920439,11664,0
23,New York,36038042006,6,38,42,38,NY,862,99,100,"WARD, ELIJAH",6942,2103,0.164592627,12777,0
24,New York,36038042007,7,38,42,38,NY,862,99,100,"CHANLER, JOHN W",9326,6389,0.520998124,12263,0
25,Connecticut,9028057002,2,28,57,38,CT,863,99,100,"ENGLISH, JAMES E",11450,1030,0.047096479,21870,0
26,Connecticut,9028057003,3,28,57,38,CT,863,99,200,"BRANDAGEE, AUGUSTUS",8878,-2497,-0.16364113,15259,0
27,New York,36038042008,8,38,42,38,NY,862,99,100,"BROOKS, JAMES",9625,4055,0.2668641,15195,0
28,Connecticut,9028057004,4,28,57,38,CT,863,99,200,"HUBBARD, JOHN H",11248,-356,-0.016079494,22140,0
29,Delaware,10018097000,0,18,97,38,DE,862,11,100,"TEMPLE, WILLIAM",8051,8051,0.501151572,16065,0
30,Ohio,39038042007,7,38,42,38,OH,862,99,100,"COX, SAMUEL S.",10372,272,0.01328644,20472,0
31,Ohio,39038042008,8,38,42,38,OH,862,99,100,"JOHNSTON, WILLIAM",9012,370,0.020958423,17654,0
32,Ohio,39038042009,9,38,42,38,OH,862,99,100,"NOBLE, WARREN P.",11765,1242,0.055725054,22288,0
33,Connecticut,9028057001,1,28,57,38,CT,863,99,200,"DEMING, HENRY C",10493,-335,-0.016221975,20651,0
34,Illinois,17038042000,0,38,42,38,IL,862,11,200,"ARNOLD, ISAAC N",10025,-1638,-0.088963719,18412,0
35,Illinois,17038042001,1,38,42,38,IL,862,11,200,"ARNOLD, ISAAC N",10025,-1638,-0.088963719,18412,0
36,Illinois,17038042010,10,38,42,38,IL,862,11,100,"KNAPP, ANTHONY L",14259,6547,0.297334121,22019,0
